ds,y
2023-01-01,2023.48
2023-01-02,2128.68
2023-01-03,2719.66
2023-01-04,2583.96
2023-01-05,2520.82
2023-01-06,3896.8
2023-01-07,6537.78
2023-01-08,5119.75
2023-01-09,2374.18
2023-01-10,1954.24
2023-01-11,3258.41
2023-01-12,2154.92
2023-01-13,4054.9
2023-01-14,6567.04
2023-01-15,4362.05
2023-01-16,1889.25
2023-01-17,2001.68
2023-01-18,3341.38
2023-01-19,3896.28
2023-01-20,3800.46
2023-01-21,6271.53
2023-01-22,4585.19
2023-01-23,3059.87
2023-01-24,2425.14
2023-01-25,2132.33
2023-01-26,2784.69
2023-01-27,3649.46
2023-01-28,6952.14
2023-01-29,4654.17
2023-01-30,2281.03
2023-01-31,3097.72
2023-02-01,2544.11
2023-02-02,2214.72
2023-02-03,4145.25
2023-02-04,6792.34
2023-02-05,4745.77
2023-02-06,1851.9
2023-02-07,2086.2
2023-02-08,2168.94
2023-02-09,2209.83
2023-02-10,3820.44
2023-02-11,6044.22
2023-02-12,4991.91
2023-02-13,2042.79
2023-02-14,4459.7
2023-02-15,2270.97
2023-02-16,2336.31
2023-02-17,4163.74
2023-02-18,5996.55
2023-02-19,4076.42
2023-02-20,1927
2023-02-21,2619.81
2023-02-22,3640.51
2023-02-23,3275.59
2023-02-24,5359.66
2023-02-25,7107.6
2023-02-26,4187.61
2023-02-27,1563.52
2023-02-28,2213.17
2023-03-01,2604.24
2023-03-02,2458.81
2023-03-03,5054.73
2023-03-04,6890.76
2023-03-05,4784.8
2023-03-06,2262.93
2023-03-07,2043.99
2023-03-08,2171.3
2023-03-09,2592.38
2023-03-10,6249.61
2023-03-11,6098.56
2023-03-12,5018.39
2023-03-13,1873.9
2023-03-14,1925.38
2023-03-15,1811.23
2023-03-16,2588.29
2023-03-17,5387.79
2023-03-18,6379.87
2023-03-19,6117.14
2023-03-20,1959.65
2023-03-21,2175.12
2023-03-22,1720.64
2023-03-23,2821.54
2023-03-24,5601.31
2023-03-25,5355.54
2023-03-26,5980.32
2023-03-27,2405.79
2023-03-28,2670.58
2023-03-29,2129.93
2023-03-30,3630.42
2023-03-31,6650.85
2023-04-01,7795.73
2023-04-02,5882.28
2023-04-03,4263.61
2023-04-04,7276.04
2023-04-05,8904.05
2023-04-06,6772.89
2023-04-07,5347.51
2023-04-08,4735.9
2023-04-09,4440.89
2023-04-10,2477.22
2023-04-11,2546.49
2023-04-12,2096.01
2023-04-13,2719.93
2023-04-14,3683.74
2023-04-15,6051.38
2023-04-16,5350.38
2023-04-17,1869.56
2023-04-18,1921.95
2023-04-19,1961.47
2023-04-20,2465.77
2023-04-21,3183.53
2023-04-22,6243.59
2023-04-23,4969.6
2023-04-24,2017.94
2023-04-25,1944.96
2023-04-26,2072.76
2023-04-27,3067.28
2023-04-28,4156.95
2023-04-29,6864.45
2023-04-30,5548
2023-05-01,2687.21
2023-05-02,1157
2023-05-03,2108.45
2023-05-04,3091.12
2023-05-05,3361.83
2023-05-06,6045.34
2023-05-07,5424.55
2023-05-08,2237.44
2023-05-09,4307.96
2023-05-10,7301.23
2023-05-11,1930.05
2023-05-12,2905.03
2023-05-13,5820.91
2023-05-14,4301.43
2023-05-15,2201.65
2023-05-16,2436.61
2023-05-17,2666.95
2023-05-18,2113.63
2023-05-19,3818.62
2023-05-20,6046.64
2023-05-21,5550.58
2023-05-22,1615.47
2023-05-23,1506.74
2023-05-24,2146.71
2023-05-25,2799.55
2023-05-26,5355.25
2023-05-27,6712.05
2023-05-28,4203.1
2023-05-29,2051.26
2023-05-30,2128.33
2023-05-31,2870.04
2023-06-01,2328.75
2023-06-02,4100.67
2023-06-03,6567.85
2023-06-04,4536.57
2023-06-05,1668.54
2023-06-06,2088.69
2023-06-07,2056.29
2023-06-08,3671.38
2023-06-09,4432.97
2023-06-10,7073.16
2023-06-11,4269.43
2023-06-12,1862.78
2023-06-13,2128.05
2023-06-14,2524.43
2023-06-15,3008.65
2023-06-16,6173.85
2023-06-17,9333.16
2023-06-18,5351.97
2023-06-19,1824.32
2023-06-20,1858.13
2023-06-21,2552.66
2023-06-22,2217.3
2023-06-23,4016.89
2023-06-24,6223.04
2023-06-25,5563.21
2023-06-26,2135.74
2023-06-27,1901.64
2023-06-28,2465.78
2023-06-29,2591.54
